param#0 	 param#1 	 dist 	  wgt 
0.486245 	-1.228015 	40.483327 	0.012252 	
0.361907 	-1.102218 	37.514003 	0.011871 	
0.342017 	-1.347190 	44.913545 	0.010124 	
0.283919 	-0.627221 	43.448497 	0.011635 	
0.552950 	-2.420935 	33.605221 	0.000841 	
0.189408 	-0.956411 	31.961211 	0.014375 	
0.550328 	-0.888092 	39.698730 	0.022457 	
0.135639 	-0.712169 	29.203599 	0.013672 	
0.114213 	-0.818400 	29.035723 	0.016123 	
0.379086 	-0.836549 	43.015930 	0.013438 	
0.365780 	-1.255505 	42.187922 	0.010707 	
0.172219 	-0.691675 	46.419344 	0.012516 	
0.264670 	-0.918528 	35.190132 	0.012629 	
0.344316 	-0.974100 	34.876878 	0.012447 	
0.468718 	-1.336203 	29.752951 	0.010327 	
0.590780 	-2.158926 	37.936845 	0.001834 	
0.461282 	-1.738406 	46.870119 	0.005339 	
0.406590 	-1.563981 	40.362922 	0.007427 	
0.180706 	-0.618920 	30.567291 	0.011615 	
0.381951 	-1.201670 	32.398298 	0.011163 	
0.469138 	-1.126887 	44.804783 	0.013277 	
0.109125 	-0.499892 	42.200643 	0.011197 	
0.428985 	-1.054853 	38.591058 	0.013106 	
0.391079 	-1.293222 	27.277581 	0.010318 	
0.252087 	-0.899912 	29.760836 	0.012720 	
0.541198 	-1.693624 	45.104626 	0.005995 	
0.513077 	-1.163121 	38.608677 	0.014206 	
0.405985 	-1.326444 	38.706369 	0.009987 	
0.522871 	-2.244922 	36.243524 	0.001502 	
0.476455 	-3.249877 	34.799743 	0.000062 	
0.340499 	-0.955872 	40.630606 	0.012485 	
0.218812 	-0.833254 	32.999696 	0.010846 	
0.406751 	-1.813662 	33.629147 	0.006397 	
0.206184 	-1.035520 	40.770083 	0.012404 	
0.004504 	-0.609982 	39.410667 	0.015567 	
0.446447 	-1.373039 	30.177559 	0.009076 	
0.271026 	-0.845424 	29.021793 	0.010740 	
0.275743 	-1.432467 	40.351251 	0.011641 	
0.459981 	-1.909369 	32.248912 	0.004956 	
0.082404 	-0.794791 	39.881879 	0.014972 	
0.404141 	-2.316295 	38.918161 	0.004206 	
0.265777 	-0.814796 	36.880219 	0.010708 	
0.543348 	-0.912729 	37.273520 	0.025875 	
0.415694 	-1.086125 	38.307308 	0.011556 	
0.286377 	-1.088456 	40.724086 	0.010751 	
0.372495 	-1.596639 	33.195624 	0.008163 	
0.319710 	-0.826579 	40.322701 	0.011371 	
0.491075 	-2.025266 	38.329798 	0.003917 	
0.500441 	-1.869277 	22.271912 	0.004837 	
0.147977 	-0.657994 	29.399552 	0.010482 	
0.504426 	-1.714702 	31.391543 	0.006047 	
0.373582 	-1.096686 	30.286816 	0.010701 	
0.410268 	-1.197460 	23.494552 	0.010350 	
